CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
2.71,0,0.25,2.61,3.27,0.05,0,0,6.28,6.29,34,2132,0.53,101.43,0,0,16,48.72,0.06,0.64,92.6,0.95,0.05,0.22,1,2,0,0,0,31380320,26240484,27941140,16379900,0,0.764,2.538,13.401,0.627,-1,-1,1,2.538,1,0,103883,39925,18857,0,7,2,0,18856,2,778,0.57,0.35,0,centralized database
2.96,0,0.35,2.81,3.51,0.1,0,0,6.92,6.91,34,2169,0.53,98.42,0,0,16,46.47,0.06,0.79,92.7,1.25,0.05,0.22,1,2,0,0,0,31380320,26218444,27940180,16379900,0,0.87,2.497,17.142,0.788,-1,-1,1,2.497,0,0,100364,41519,19755,0,7,1,24,19752,1,775,0.57,0.35,0,centralized database
2.96,0,0.4,2.56,3.31,0,0,0,6.67,6.69,23,1909,0.36,95.3,0,0,16,51.12,0.09,0.71,91.4,0.95,0.11,0.26,2,2,0,0,0,31380320,26200672,27940364,16379900,252,1.046,2.443,20.4,1.09,-1,-1,1,2.443,1,0,97810,40149,20866,0,7,2,31,20908,3,779,0.68,0.38,0,centralized database
2.81,0,0.15,2.86,3.26,0.1,0,0,6.32,6.31,31,2121,0.48,100.39,0,0,16,48.47,0.06,0.92,92.9,1.31,0.1,0.44,2,4,0,0,0,31380320,26171176,27931972,16379900,12,0.818,2.619,13.46,0.626,-1,-1,1,2.619,1,0,103165,39028,20174,0,7,0,0,20116,0,773,0.68,0.38,0,centralized database
2.5,0,0.25,2.25,3.44,0.1,0,0,6.29,6.26,28,1811,0.44,82.97,0,0,16,46.92,0.07,1,94.6,1.31,0.1,0.45,2,4,0,0,0,31380320,26157480,27938804,16379900,0,0.788,2.532,16.953,0.854,-1,-1,1,2.532,2,0,84965,38649,17188,0,6,1,0,17131,2,776,0.68,0.38,0,centralized database
2.86,0,0.15,2.71,3.31,0.1,0,0,6.42,6.45,35,2195,0.55,102.07,0,0,16,47.62,0.06,0.84,93.5,1.29,0.05,0.22,1,2,0,0,0,31380320,26124332,27924008,16379900,104,0.804,2.555,15.841,0.714,-1,-1,1,2.555,0,0,104520,40548,19594,0,7,2,2,19611,3,783,0.68,0.38,0,centralized database
3.26,0,0.45,2.3,3.76,0.1,0,0,7.57,7.57,42,2047,0.66,88.53,0,0,16,44.29,0.1,0.94,93.8,1.37,0.15,0.33,3,3,0,0,0,31380320,26098668,27919412,16379900,0,1.826,2.234,24.567,1.551,-1,-1,1,2.234,1,0,90658,42400,19115,0,7,2,6,19090,3,779,0.79,0.41,0,centralized database
2.76,0,0.35,2.76,3.31,0.05,0,0,6.47,6.49,385,1902,6.02,94.67,0,0,16,50.97,0.06,0.72,92.2,0.95,0.08,0.4,1,3,0,0,0,31380320,26080856,27919596,16379900,0,0.88,2.48,17.788,0.791,-1,-1,1,2.48,0,0,96947,41054,21271,0,7,2,0,21310,2,781,0.79,0.41,0,centralized database
8.91,0,0.55,2.8,3.1,0,0,0,12.56,12.59,7561,1471,118.14,41.07,0,0.07,16,28.59,0.09,0.43,65.6,0.35,0.2,0.45,4,4,0,0,0,31380320,26072904,27932236,16379900,32,1.616,2.246,18.101,0.307,-1,-1,1,2.246,1,0,42152,47470,26588,0,13,2,26,26079,1,780,0.79,0.41,0,centralized database
2.25,0,0.35,2.85,3.4,0.15,0,0,6.15,6.15,104,1144,1.62,56.29,0,0,16,50.39,0.08,1.07,94.1,0.91,0.05,0.22,1,2,0,0,0,31380320,26068652,27928008,16379900,32,0.812,2.186,16.376,0.899,-1,-1,1,2.186,1,0,57587,42031,16019,0,6,1,24,16011,1,775,0.79,0.41,0,centralized database
2.36,0,0.25,2.16,3.42,0.05,0,0,6.08,6.07,6,2224,0.09,96.67,0,0,16,44.51,0,0.66,93.3,1.03,0.05,0.22,1,2,0,0,0,31380320,26058224,27932580,16379900,304,1.04,2.353,21.02,1.105,-1,-1,1,2.353,1,0,98165,42139,19138,0,6,1,6,19065,1,781,0.8,0.42,0,centralized database
2.8,0,0.25,2.8,3.35,0.2,0,0,6.6,6.58,34,1932,0.53,95.17,0,0,16,50.44,0.09,0.91,93.6,1.24,0.05,0.34,1,3,0,0,0,31380320,26041124,27932580,16379900,104,0.694,2.71,12.63,0.594,-1,-1,1,2.71,1,0,97610,41243,18607,0,7,2,0,18550,4,779,0.8,0.42,0,centralized database
4.49,0,0.85,2.74,3.14,0.05,0,0,8.53,8.5,33,2138,0.52,94.94,0,0,16,45.47,0.06,0.86,92.7,1.18,0.17,0.81,3,7,0,0,0,31380320,26007564,27920464,16379900,120,2.582,1.935,24.41,2.31,-1,-1,1,1.935,0,0,97224,44302,34713,0,8,2,14,34675,3,780,0.8,0.42,0,centralized database
4.92,0,0.55,2.76,3.11,0.15,0,0,8.73,8.72,17,1884,0.27,94.33,0,0,16,51.27,0.06,1.01,90.6,1.42,5.12,2.72,14,19,0,0,0,31380320,25984936,27915536,16379900,196,3.298,1.897,19.264,2.227,-1,-1,1,1.897,0,0,96920,44326,37358,0,9,3,24,37247,1,784,0.8,0.42,0,centralized database
3.2,0,0.6,2.55,3.36,0.15,0,0,7.31,7.3,34,2151,0.53,101.29,0,0,16,48.22,0.09,0.77,91.2,1.13,0.04,0.35,1,3,0,0,0,31380320,25955460,27907976,16379900,40,1.752,2.342,22.149,1.335,-1,-1,1,2.342,0,0,103983,42797,25020,0,7,2,6,25009,1,774,0.82,0.43,0,centralized database
2.45,0,0.15,2.35,3.55,0.1,0,0,6.25,6.24,35,2079,0.55,88.95,0,0,16,43.81,0.09,0.88,94.2,1.35,0.1,0.43,2,4,0,0,0,31380320,25938824,27912428,16379900,0,0.85,2.308,16.656,0.782,-1,-1,1,2.308,1,0,91333,43026,17565,0,6,2,0,17516,4,780,0.82,0.43,0,centralized database
3.04,0,0.55,2.54,3.59,0.1,0,0,7.28,7.27,34,2143,0.53,101.64,0,0,16,48.57,0.06,1.05,92.5,1.53,0.11,0.2,2,2,0,0,0,31380320,25923080,27914104,16379900,0,1.1,2.523,16.735,0.847,-1,-1,1,2.523,1,0,103906,41176,20942,0,7,4,9,20959,2,783,0.82,0.43,0,centralized database
