CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
79.67,0.0,0.25,0.05,0.7,0.1,0.0,0.0,80.72,80.68,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0,0.01,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23841240.0,27324204.0,16379900.0,288.0,0.237,0.708,34.997,0.062,-1.0,-1.0,1.0,0.708,0.0,0.0,0.0,39403.0,2214.0,0.0,81.0,16.0,7.0,2237.0,16.0,944.0,6.52,1.73,0.0
79.63,0.0,0.1,0.05,0.6,0.0,0.0,0.0,80.33,80.4,0.0,13.0,0.0,0.23,0.0,0.0,0.0,17.85,0.0,2.69,0.9,0.03,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380324.0,23843820.0,27326812.0,16379900.0,304.0,0.109,0.683,48.082,0.02,-1.0,-1.0,1.0,0.683,0.0,0.0,232.0,39139.0,1702.0,0.0,80.0,16.0,0.0,1664.0,16.0,944.0,6.52,1.73,0.0
79.8,0.0,0.1,0.0,0.65,0.0,0.0,0.0,80.55,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23840520.0,27323512.0,16379900.0,312.0,0.132,0.687,45.328,0.032,-1.0,-1.0,1.0,0.687,0.0,0.0,0.0,39977.0,1553.0,0.0,81.0,16.0,0.0,1480.0,17.0,944.0,6.52,1.73,0.0
79.53,0.0,0.05,0.0,0.75,0.0,0.0,0.0,80.33,84.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.19,2.0,3.0,0.0,0.0,0.0,31380324.0,23847668.0,27330660.0,16379900.0,80.0,0.089,0.684,34.686,0.013,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39580.0,1607.0,0.0,80.0,16.0,0.0,1537.0,16.0,941.0,7.28,1.96,0.0
79.61,0.0,0.05,0.0,0.85,0.0,0.0,0.0,80.51,80.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,4.0,3.0,0.0,0.0,0.0,31380324.0,23845712.0,27328708.0,16379900.0,88.0,0.18,0.683,30.126,0.026,-1.0,-1.0,1.0,0.683,0.0,0.0,0.0,39809.0,1933.0,0.0,81.0,16.0,0.0,1930.0,18.0,944.0,7.28,1.96,0.0
79.57,0.0,0.05,0.0,0.8,0.0,0.0,0.0,80.42,84.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,1.0,1.0,0.0,0.0,0.0,31380324.0,23843672.0,27326672.0,16379900.0,88.0,0.156,0.684,45.599,0.033,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39399.0,1901.0,0.0,81.0,16.0,0.0,1803.0,16.0,941.0,7.28,1.96,0.0
79.6,0.0,0.15,0.0,0.6,0.0,0.0,0.0,80.35,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.57,6.0,8.0,0.0,0.0,0.0,31380324.0,23844412.0,27327412.0,16379900.0,508.0,0.092,0.684,43.23,0.02,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39840.0,1690.0,0.0,80.0,16.0,1.0,1690.0,16.0,941.0,7.98,2.2,0.0
79.82,0.0,0.1,0.0,0.65,0.0,0.0,0.0,80.57,80.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,1.19,8.0,9.0,0.04,0.0,0.0,31380324.0,23847200.0,27330212.0,16379900.0,512.0,0.254,0.685,36.665,0.063,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39563.0,2237.0,0.0,81.0,16.0,7.0,2191.0,16.0,941.0,7.98,2.2,0.0
79.57,0.0,0.1,0.0,0.7,0.0,0.0,0.0,80.37,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380324.0,23839396.0,27322412.0,16379900.0,516.0,0.087,0.684,58.446,0.023,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39941.0,1650.0,0.0,81.0,16.0,0.0,1650.0,17.0,944.0,7.98,2.2,0.0
79.51,0.0,0.1,0.05,0.8,0.0,0.0,0.0,80.41,80.4,0.0,54.0,0.0,0.65,0.0,0.0,0.0,12.42,0.0,2.69,1.6,0.13,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380324.0,23841340.0,27324368.0,16379900.0,4.0,0.116,0.684,40.631,0.015,-1.0,-1.0,1.0,0.684,0.0,0.0,671.0,39872.0,1880.0,0.0,80.0,16.0,0.0,1843.0,16.0,941.0,7.98,2.2,0.0
79.52,0.0,0.05,0.0,0.65,0.0,0.0,0.0,80.22,89.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380324.0,23844232.0,27327256.0,16379900.0,12.0,0.086,0.683,33.489,0.015,-1.0,-1.0,1.0,0.683,0.0,0.0,0.0,39393.0,1570.0,0.0,80.0,16.0,0.0,1546.0,16.0,944.0,8.7,2.44,0.0
79.73,0.0,0.15,0.0,0.7,0.0,0.0,0.0,80.58,80.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,4.0,3.0,0.0,0.0,0.0,31380324.0,23846572.0,27329596.0,16379900.0,12.0,0.197,0.685,44.216,0.042,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39791.0,2186.0,0.0,81.0,16.0,4.0,2145.0,16.0,944.0,8.7,2.44,0.0
79.55,0.0,0.1,0.0,0.7,0.0,0.0,0.0,80.35,84.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,31380324.0,23839716.0,27322728.0,16379900.0,16.0,0.119,0.684,32.44,0.016,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39525.0,1641.0,0.0,80.0,16.0,0.0,1549.0,16.0,941.0,8.7,2.44,0.0
79.58,0.0,0.05,0.0,0.75,0.0,0.0,0.0,80.38,84.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23844552.0,27327572.0,16379900.0,16.0,0.077,0.684,40.424,0.015,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,39733.0,1607.0,0.0,80.0,16.0,1.0,1609.0,16.0,940.0,9.29,2.67,0.0
79.63,0.0,0.1,0.0,0.7,0.0,0.0,0.0,80.43,80.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,1.87,12.0,17.0,0.04,0.0,0.0,31380324.0,23842716.0,27325732.0,16379900.0,16.0,0.198,0.685,32.533,0.037,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39237.0,2040.0,0.0,81.0,16.0,6.0,2037.0,16.0,942.0,9.29,2.67,0.0
79.58,0.0,0.05,0.0,0.85,0.0,0.0,0.0,80.48,84.58,0.0,9.0,0.0,0.02,0.0,0.0,0.0,2.33,0.0,2.78,2.5,0.02,0.77,0.38,6.0,6.0,0.01,0.0,0.0,31380324.0,23839660.0,27322672.0,16379900.0,20.0,0.09,0.685,42.277,0.036,-1.0,-1.0,1.0,0.685,0.0,0.0,21.0,39255.0,1813.0,0.0,81.0,16.0,1.0,1836.0,16.0,940.0,9.29,2.67,0.0
79.48,0.0,0.05,0.0,0.9,0.0,0.0,0.0,80.43,80.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.0,0.0,0.0,0.0,31380324.0,23838172.0,27321172.0,16379900.0,104.0,0.093,0.685,50.165,0.025,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39631.0,1713.0,0.0,80.0,16.0,1.0,1678.0,16.0,940.0,9.29,2.67,0.0
79.51,0.0,0.05,0.0,0.75,0.0,0.0,0.0,80.31,89.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380324.0,23845072.0,27328072.0,16379900.0,108.0,0.056,0.685,35.732,0.016,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,40317.0,1325.0,0.0,80.0,16.0,0.0,1318.0,17.0,943.0,9.91,2.91,0.0
79.81,0.0,0.2,0.05,0.8,0.0,0.0,0.0,80.81,80.61,3.0,9.0,0.03,0.06,0.0,0.0,10.67,6.61,3.67,1.33,2.5,0.02,0.73,1.13,5.0,5.0,0.01,0.0,0.0,31380324.0,23843680.0,27326684.0,16379900.0,112.0,0.211,0.687,40.625,0.08,-1.0,-1.0,1.0,0.687,0.0,0.0,59.0,39583.0,2569.0,0.0,81.0,16.0,7.0,2516.0,19.0,943.0,9.91,2.91,0.0
79.46,0.0,0.05,0.0,0.85,0.0,0.0,0.0,80.36,84.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.19,4.0,5.0,0.01,0.0,0.0,31380324.0,23837584.0,27320600.0,16379900.0,180.0,0.098,0.685,42.571,0.029,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39262.0,1397.0,0.0,80.0,16.0,0.0,1389.0,16.0,940.0,9.91,2.91,0.0
79.49,0.0,0.05,0.0,0.85,0.0,0.0,0.0,80.39,84.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.31,56.0,14.0,0.05,0.0,0.0,31380324.0,23830220.0,27313236.0,16379900.0,180.0,0.096,0.685,30.59,0.016,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,40045.0,1894.0,0.0,80.0,16.0,0.0,1893.0,16.0,940.0,10.39,3.13,0.0
79.66,0.0,0.15,0.0,0.8,0.0,0.0,0.0,80.61,80.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.14,2.0,2.0,0.0,0.0,0.0,31380324.0,23828116.0,27311132.0,16379900.0,184.0,0.172,0.697,33.777,0.226,-1.0,-1.0,1.0,0.697,0.0,0.0,0.0,39827.0,1951.0,0.0,81.0,17.0,8.0,1905.0,29.0,942.0,10.39,3.13,0.0
79.76,0.0,0.0,0.05,0.65,0.05,0.0,0.0,80.46,80.35,0.0,3.0,0.0,0.15,0.0,0.0,0.0,50.67,0.0,5.0,1.6,0.01,5.5,1.53,12.0,14.0,0.05,0.0,0.0,31380324.0,23844684.0,27327704.0,16379900.0,200.0,0.182,0.685,45.202,0.05,-1.0,-1.0,1.0,0.685,0.0,0.0,152.0,39415.0,2214.0,0.0,81.0,16.0,0.0,2167.0,16.0,942.0,10.39,3.13,0.0
79.39,0.0,0.1,0.05,0.8,0.1,0.0,0.0,80.39,80.45,0.0,24.0,0.0,0.19,0.0,0.0,0.0,7.94,0.0,0.88,2.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380324.0,23854480.0,27337504.0,16379900.0,260.0,0.089,0.685,37.955,0.017,-1.0,-1.0,1.0,0.685,0.0,0.0,191.0,39997.0,1789.0,0.0,80.0,16.0,0.0,1711.0,16.0,942.0,10.39,3.13,0.0
79.57,0.0,0.05,0.05,0.6,0.05,0.0,0.0,80.27,84.47,0.0,3.0,0.0,0.01,0.0,0.0,0.0,1.83,0.0,5.0,1.6,0.01,0.11,0.21,2.0,3.0,0.0,0.0,0.0,31380324.0,23858788.0,27341812.0,16379900.0,136.0,0.079,0.685,38.084,0.015,-1.0,-1.0,1.0,0.685,0.0,0.0,5.0,39488.0,1420.0,0.0,80.0,16.0,0.0,1417.0,18.0,945.0,10.92,3.36,0.0
79.72,0.0,0.15,0.05,0.7,0.0,0.0,0.0,80.57,80.65,0.0,3.0,0.0,0.01,0.0,0.0,0.0,2.0,0.0,5.0,1.6,0.01,0.15,0.13,3.0,2.0,0.0,0.0,0.0,31380324.0,23858904.0,27341936.0,16379900.0,156.0,0.248,0.686,34.589,0.059,-1.0,-1.0,1.0,0.686,0.0,0.0,6.0,39372.0,2322.0,0.0,81.0,16.0,9.0,2363.0,16.0,944.0,10.92,3.36,0.0
79.59,0.0,0.1,0.0,0.55,0.05,0.0,0.0,80.29,84.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.58,10.0,9.0,0.0,0.0,0.0,31380324.0,23858120.0,27341152.0,16379900.0,188.0,0.106,0.685,39.573,0.016,-1.0,-1.0,1.0,0.685,0.0,0.0,0.0,39494.0,1713.0,0.0,80.0,16.0,0.0,1691.0,16.0,942.0,10.92,3.36,0.0
