CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
0.25,0,0.1,0.0,1.4,0.3,0,0,2.05,2.04,0,3,0.0,0.02,0,25.0,0.0,6.67,0,9.0,0.9,0.02,0.1,0.13,2,2,0.0,0,0,31380316,25848492,27239084,16379900,32,0.1,0.495,23.79,3.311,-1,-1,1,0.495,0,0,20,34896,1271,0,2,0,0.0,1233.0,0,802,0.08,0.12,0
0.15,0,0.1,0.0,1.3,0.15,0,0,1.7,1.79,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.06,2,1,0.0,0,0,31380316,25848664,27239256,16379900,12,0.094,0.581,31.163,3.999,-1,-1,1,0.581,0,0,0,36323,1609,0,2,1,0.0,1590.0,0,802,0.07,0.12,0
0.05,0,0.15,0.0,1.25,0.0,0,0,1.45,1.45,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.19,3,3,0.0,0,0,31380316,25845900,27236496,16379900,20,0.126,0.473,19.066,1.801,-1,-1,1,0.473,0,0,0,34711,1235,0,1,0,1.0,1241.0,0,802,0.07,0.12,0
0.1,0,0.2,0.0,1.1,0.0,0,0,1.4,1.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.8,1.14,9,8,0.04,0,0,31380316,25859856,27250452,16379900,20,0.284,0.509,29.479,3.479,-1,-1,1,0.509,0,0,0,35933,1578,0,2,0,0.0,1480.0,0,802,0.07,0.12,0
0.2,0,0.1,0.0,1.25,0.15,0,0,1.7,1.79,0,1,0.0,0.0,0,0.0,0.0,4.0,0,8.0,0.9,0.01,0.14,0.19,3,2,0.0,0,0,31380316,25860388,27250988,16379900,20,0.308,0.616,29.814,3.659,-1,-1,1,0.616,0,0,4,34840,1761,0,2,0,6.0,1765.0,0,805,0.07,0.12,0
0.15,0,0.1,0.0,1.4,0.1,0,0,1.75,1.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.19,0,3,0.0,0,0,31380316,25859356,27249960,16379900,24,0.186,0.515,31.434,4.488,-1,-1,1,0.515,0,0,0,35830,1338,0,2,0,0.0,1316.0,1,807,0.07,0.12,0
0.1,0,0.25,0.0,1.15,0.0,0,0,1.5,1.58,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.19,3,3,0.0,0,0,31380316,25860488,27251100,16379900,24,0.12,0.441,22.955,4.057,-1,-1,1,0.441,0,0,0,34710,1349,0,2,3,1.0,1332.0,1,802,0.07,0.12,0
0.1,0,0.1,0.0,1.45,0.15,0,0,1.8,1.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06,0,1,0.0,0,0,31380316,25861192,27251804,16379900,24,0.102,0.485,19.913,2.78,-1,-1,1,0.485,0,0,0,35326,1263,0,2,0,0.0,1261.0,2,805,0.07,0.12,0
0.15,0,0.3,0.0,1.25,0.25,0,0,1.95,2.05,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.0,1,0,0.0,0,0,31380316,25864176,27254788,16379900,24,0.424,0.604,25.389,3.271,-1,-1,1,0.604,0,0,0,34971,1848,0,2,1,6.0,1831.0,1,808,0.07,0.12,0
0.05,0,0.1,0.0,1.16,0.05,0,0,1.36,1.36,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.19,3,3,0.0,0,0,31380316,25859940,27250552,16379900,24,0.068,0.474,21.648,2.331,-1,-1,1,0.474,0,0,0,36006,1315,0,2,1,0.0,1309.0,0,802,0.14,0.13,0
