,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,index
25%,0.1,0.0,0.1,0.0,3.9,0.1,0.0,0.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,2.0,1.0,0.0,0.0,0.0,31380316.0,23542320.0,25964160.0,16379900.0,120.0,0.0,0.516,23.293,3.845,-1.0,-1.0,1.0,0.516,0.0,0.0,0.0,35913.0,1567.0,0.0,4.0,0.0,0.0,1551.0,0.0,1274.0,0.23,0.31,0.0,default
50%,0.15,0.0,0.15,0.0,3.95,0.15,0.0,0.0,4.41,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,4.0,4.0,0.0,0.0,0.0,31380316.0,23554204.0,25976096.0,16379900.0,332.0,0.0,0.549,27.013,4.493,-1.0,-1.0,1.0,0.549,0.0,0.0,0.0,36434.0,1834.0,0.0,4.0,1.0,0.0,1821.0,0.0,1275.0,0.25,0.33,0.0,default
75%,0.3,0.0,0.2,0.0,4.05,0.2,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.54,7.0,7.0,0.01,0.0,0.0,31380316.0,23574492.0,25995952.0,16379900.0,760.0,0.0,0.67,31.367,5.446,-1.0,-1.0,1.0,0.67,0.0,0.0,0.0,37010.0,3314.0,0.0,4.0,1.0,1.0,3306.0,1.0,1277.0,0.28,0.34,0.0,default
max,0.8,0.0,0.45,0.05,4.19,0.3,0.0,0.0,5.4,5.39,0.0,31.0,0.0,0.35,0.0,0.0,0.0,14.5,0.0,5.0,2.9,0.03,6.51,2.89,14.0,17.0,0.05,0.0,0.0,31380316.0,23580300.0,26001740.0,16379900.0,972.0,0.0,0.87,36.684,6.955,-1.0,-1.0,1.0,0.87,0.0,0.0,361.0,38783.0,6282.0,0.0,6.0,3.0,7.0,6175.25,3.0,1412.0,0.42,0.35,0.0,default
count,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,distributed databases
mean,80.1025,0.0,2.1001807228915674,0.0338855421686747,2.24737951807229,0.18132530120481932,0.0,0.0,84.6313855421686,84.63271084337349,0.0,233.48969879518071,0.0,44.82843373493974,0.0,0.05141566265060241,0.0,196.88512048192766,0.0,1.387198795180723,36.50566265060238,0.24798192771084324,55851.09885542174,55851.09885542174,2978.823012048193,2978.823012048193,0.0,0.0,0.0,31380316.0,19594665.590361446,23090215.8313253,16379900.0,4492.614457831325,0.0,1.0456716867469875,31.526370481927692,3.948424698795183,-1.0,-1.0,1.0,1.0456716867469875,0.0,0.0,46026.388554216865,90789.09337349398,32600.343373493975,0.0,84.55722891566265,19.198795180722893,9.949487951807228,32587.948704819275,19.00602409638554,1506.512048192771,17.159337349397607,12.072560240963854,0.0,distributed databases
std,2.383763573938289,0.0,0.3402655314502653,0.04043896787340014,0.1592032672538436,0.08288996213759449,0.0,0.0,2.4824740136709718,2.4824551487756374,0.0,25.750212891495476,0.0,5.763077126185548,0.0,0.1609679429772495,0.0,14.831625055877357,0.0,0.2673722123522208,4.4370426292415255,0.048734681273303375,4681.492420536948,4681.492420536948,273.4315374835134,273.4315374835134,0.0,0.0,0.0,0.0,174921.2655691211,86202.41929898864,0.0,5475.698389605594,0.0,0.025610799144029785,0.6799439363567313,0.0998526273199081,0.0,0.0,0.0,0.025610799144029785,0.0,0.0,5944.370666858229,16024.822035115274,10149.303617986641,0.0,2.573342689967132,6.543574491368266,10.551946744537338,10220.161313236922,6.358852798881783,4.925104261392437,3.030996094342259,3.4983162647483685,0.0,distributed databases
min,71.99,0.0,1.35,0.0,1.9,0.0,0.0,0.0,76.99,77.0,0.0,154.0,0.0,31.99,0.0,0.0,0.0,152.27,0.0,1.13,24.7,0.16,40767.54,40767.54,2217.0,2217.0,0.0,0.0,0.0,31380316.0,19032816.0,22824340.0,16379900.0,20.0,0.0,0.98,29.787,3.661,-1.0,-1.0,1.0,0.98,0.0,0.0,34127.0,54651.0,16750.0,0.0,77.0,2.0,0.0,16731.0,1.0,1497.0,6.44,4.2,0.0,distributed databases
25%,78.53,0.0,1.85,0.0,2.15,0.1375,0.0,0.0,82.975,82.9775,0.0,218.0,0.0,41.1725,0.0,0.0,0.0,187.66750000000002,0.0,1.26,33.5,0.22,52934.604999999996,52934.604999999996,2784.0,2784.0,0.0,0.0,0.0,31380316.0,19463108.0,23030926.0,16379900.0,780.0,0.0,1.027,31.0925,3.8834999999999997,-1.0,-1.0,1.0,1.027,0.0,0.0,42117.0,80062.5,23689.75,0.0,83.0,15.0,0.0,23722.75,15.0,1503.0,15.5,9.4225,0.0,distributed databases
50%,80.205,0.0,2.1,0.0,2.24,0.2,0.0,0.0,84.67,84.67500000000001,0.0,234.0,0.0,44.225,0.0,0.0,0.0,195.355,0.0,1.29,36.0,0.24,55516.505000000005,55516.505000000005,2954.5,2954.5,0.0,0.0,0.0,31380316.0,19613248.0,23091086.0,16379900.0,1788.0,0.0,1.047,31.490499999999997,3.9505,-1.0,-1.0,1.0,1.047,0.0,0.0,45154.5,90031.5,31060.5,0.0,85.0,20.0,4.0,30975.5,20.0,1506.0,18.37,13.16,0.0,distributed databases
