CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.3,0,0.25,0.05,4.04,0.25,0,0,4.84,4.84,0,52,0,0.44,0,7.14,0,8.57,0,2.81,1.5,0.13,0,0,0,0,0,0,0,31380316,22592356,25054436,16379900,132,0,0.665,12.481,2.872,-1,-1,1,0.665,0,0,446,37453,4673,0,4,2,0,4638,3,1409,0.3,0.22,0,default,default
0.4,0,0.3,0,3.95,0.15,0,0,4.8,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.18,3,3,0,0,0,31380316,22590980,25053064,16379900,136,0,0.714,16.397,4.024,-1,-1,1,0.714,0,0,0,37868,4462,0,4,0,0,4442,2,1408,0.3,0.22,0,default,default
0.5,0,0.2,0,3.87,0.1,0,0,4.67,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.57,9,9,0.01,0,0,31380316,22590436,25052492,16379900,144,0,0.777,25.662,6.262,-1,-1,1,0.777,0,0,0,37031,4995,0,5,1,6,4980,1,1406,0.3,0.22,0,default,default
1.2,0,0.3,0,3.95,0.1,0,0,5.55,5.54,0,3,0,0.02,0,0,0,6.17,0,2.67,0.9,0.01,5.52,1.58,13,15,0.05,0,0,31380316,22586964,25048984,16379900,88,0,1.268,22.167,2.394,-1,-1,1,1.268,0,0,18,37928,5796,0,5,0,1,5759,0,1406,0.28,0.22,0,default,default
0.45,0,0.25,0,3.95,0.1,0,0,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22568116,25030184,16379900,140,0,0.684,15.638,3.819,-1,-1,1,0.684,0,0,0,36531,4006,0,4,1,0,3982,0,1406,0.28,0.22,0,default,default
0.4,0,0.1,0,4,0.1,0,0,4.6,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.13,3,2,0,0,0,31380316,22571004,25033076,16379900,140,0,0.691,13.29,2.903,-1,-1,1,0.691,0,0,0,36098,4880,0,4,1,0,4828,0,1403,0.28,0.22,0,default,default
0.6,0,0.3,0,4.1,0.15,0,0,5.15,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.19,7,3,0,0,0,31380316,22571412,25033488,16379900,144,0,0.722,26,6.954,-1,-1,1,0.722,0,0,0,37949,5587,0,5,2,6,5580,1,1406,0.28,0.22,0,default,default
0.3,0,0.25,0,4,0.25,0,0,4.8,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,22569412,25031488,16379900,144,0,0.67,12.693,3.163,-1,-1,1,0.67,0,0,0,37091,4059,0,4,1,0,4035,0,1403,0.25,0.21,0,default,default
0.3,0,0.2,0,4,0.15,0,0,4.65,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.99,0.99,0,0,0,31380316,22572796,25034856,16379900,148,0,0.686,13.003,3.017,-1,-1,1,0.686,0,0,0,36668,4330,0,4,1,0,4303,2,1409,0.25,0.21,0,default,default
0.3,0,0.2,0,4.01,0.25,0,0,4.76,4.75,0,4,0,0.05,0,33.33,0,12,0,8.75,0.9,0.03,0.38,0.05,1,1,0,0,0,31380316,22575884,25037944,16379900,148,0,0.69,13.438,2.865,-1,-1,1,0.69,0,0,48,38947,4043,0,4,3,0,3988,1,1406,0.25,0.21,0,default,default
0.5,0,0.3,0,3.91,0.1,0,0,4.81,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.13,6,2,0,0,0,31380316,22573080,25035144,16379900,112,0,0.716,21.999,5.062,-1,-1,1,0.716,0,0,0,37853,5243,0,4,2,6,5239,1,1403,0.25,0.21,0,default,default
0.35,0,0.25,0,3.91,0.25,0,0,4.76,4.75,0,0,0,0,0,0,0,0,0,0,0,0,4.74,1.14,8,8,0.04,0,0,31380316,22568112,25030184,16379900,124,0,0.766,18.848,3.675,-1,-1,1,0.766,0,0,0,36853,4504,0,4,1,0,4516,2,1410,0.23,0.21,0,default,default
0.5,0,0.25,0,4,0.1,0,0,4.85,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22559432,25021504,16379900,128,0,0.662,15.587,3.627,-1,-1,1,0.662,0,0,0,38668,4555,0,4,0,0,4488,0,1403,0.23,0.21,0,default,default
0.4,0,0.4,0.05,4,0,0,0,4.8,4.8,0,6,0,0.03,0,14.29,0,4.67,0,6,0.9,0.03,0.36,0.32,6,4,0,0,0,31380316,22556956,25019028,16379900,128,0,0.65,14.164,3.371,-1,-1,1,0.65,0,0,28,37218,4283,0,4,2,0,4261,1,1406,0.23,0.21,0,default,default
1.55,0,0.4,0,3.81,0.3,0,0,6.06,6.06,0,25,0,0.25,0,0,0,10.3,0,1.44,2.9,0.03,1.07,0.56,11,9,0.01,0,0,31380316,22552196,25014268,16379900,104,0,1.269,31.123,4.538,-1,-1,1,1.269,0,0,258,39890,10725,0,7,3,5,10711,2,1412,0.23,0.21,0,default,default
0.5,0,0.15,0,3.85,0.15,0,0,4.65,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.19,3,3,0,0,0,31380316,22546596,25008672,16379900,124,0,0.67,13.918,3.505,-1,-1,1,0.67,0,0,0,37647,4154,0,4,1,0,4146,3,1412,0.21,0.2,0,default,default
0.35,0,0.25,0,3.95,0.1,0,0,4.65,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22548824,25010912,16379900,128,0,0.671,12.326,3.006,-1,-1,1,0.671,0,0,0,37208,4988,0,4,1,1,4974,1,1410,0.21,0.2,0,default,default
0.4,0,0.3,0.05,4,0.15,0,0,4.85,4.83,0,15,0,0.46,0,16.67,0,31.73,0,2.33,1,0.03,0,0,0,0,0,0,0,31380316,22550516,25012608,16379900,476,0,0.739,16.437,4.193,-1,-1,1,0.739,0,0,476,38047,4178,0,4,2,0,4174,1,1407,0.21,0.2,0,default,default
0.45,0,0.15,0,4.01,0.15,0,0,4.76,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.47,7,7,0,0,0,31380316,22555248,25017368,16379900,8,0,0.702,20.004,4.949,-1,-1,1,0.702,0,0,0,38783,5066,0,4,1,0,4979,0,1407,0.21,0.2,0,default,default
0.5,0,0.35,0,3.9,0.15,0,0,4.9,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.01,5,9,0.01,0,0,31380316,22538824,25000948,16379900,12,0,0.683,16.509,4.124,-1,-1,1,0.683,0,0,0,36642,4306,0,4,0,0,4306,0,1407,0.28,0.22,0,default,default
0.55,0,0.15,0,4.1,0.05,0,0,4.85,4.84,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0.29,46,3,0.03,0,0,31380316,22540344,25002468,16379900,16,0,0.639,15.467,3.789,-1,-1,1,0.639,0,0,0,37738,4511,0,4,0,0,4495,1,1410,0.28,0.22,0,default,default
0.4,0,0.3,0,4.14,0.15,0,0,4.99,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,2,1,0,0,0,31380316,22541684,25003808,16379900,16,0,0.736,21.797,4.968,-1,-1,1,0.736,0,0,0,37932,4593,0,4,0,7,4565,0,1407,0.28,0.22,0,default,default
0.55,0,0.2,0,4.05,0.2,0,0,5,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.26,4,4,0,0,0,31380316,22540328,25002452,16379900,16,0,0.705,17.426,4.057,-1,-1,1,0.705,0,0,0,36663,4249,0,4,1,0,4237,0,1407,0.28,0.22,0,default,default
0.45,0,0.1,0,4,0.25,0,0,4.8,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,22550956,25013080,16379900,20,0,0.669,11.651,2.653,-1,-1,1,0.669,0,0,0,37210,3935,0,4,2,0,3897,0,1407,0.34,0.23,0,default,default
0.4,0,0.25,0,3.95,0.05,0,0,4.65,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22553008,25015132,16379900,20,0,0.66,12.487,3.013,-1,-1,1,0.66,0,0,0,37458,4863,0,4,3,0,4726,1,1412,0.34,0.23,0,default,default
0.45,0,0.15,0,3.92,0.05,0,0,4.57,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,22554964,25017092,16379900,28,0,0.764,22.75,5.497,-1,-1,1,0.764,0,0,0,37187,4816,0,4,0,6,4774,1,1410,0.34,0.23,0,default,default
0.35,0,0.2,0,3.86,0.25,0,0,4.66,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.22,3,3,0,0,0,31380316,22553456,25015572,16379900,28,0,0.664,16.177,4.061,-1,-1,1,0.664,0,0,0,38109,4868,0,4,0,3,4940,0,1407,0.31,0.23,0,default,default
0.6,0,0.1,0,4,0.15,0,0,4.85,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0.47,1,7,9,0.01,0,0,31380316,22552172,25014288,16379900,28,0,0.701,14.811,3.396,-1,-1,1,0.701,0,0,0,37958,4818,0,4,1,1,4815,0,1407,0.31,0.23,0,default,default
0.25,0,0.25,0,4.05,0.2,0,0,4.75,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22556024,25018140,16379900,28,0,0.696,14.694,3.384,-1,-1,1,0.696,0,0,0,37518,3841,0,4,0,0,3786,0,1407,0.31,0.23,0,default,default
0.8,0,0.4,0.05,4.1,0.1,0,0,5.4,5.39,3,21,0.04,0.19,0,0,13.33,9.31,0.33,1.43,2.2,0.03,1.66,0.53,6,9,0.01,0,0,31380316,22556844,25018960,16379900,28,0,0.824,28.851,6.611,-1,-1,1,0.824,0,0,195,37185,7180,0,5,0,6,7147,0,1407,0.31,0.23,0,default,default
0.65,0,0.25,0,4.15,0.15,0,0,5.2,5.19,1,3,0.02,0.02,0,0,16,6.33,2,2.67,1.1,0.01,0.15,0.19,3,3,0,0,0,31380316,22544716,25006932,16379900,36,0,0.989,29.449,4.866,-1,-1,1,0.989,0,0,19,38660,2840,0,5,1,0,2825,1,1413,0.28,0.22,0,default,default
0.1,0,0.1,0,4.05,0.2,0,0,4.45,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,22541884,25004168,16379900,88,0,0.499,29.806,4.795,-1,-1,1,0.499,0,0,0,36177,1678,0,4,0,0,1667,0,1407,0.28,0.22,0,default,default
