CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
10.31,0,0.1,0.05,3,0.15,0,0,13.56,15,0,7,0,0.05,0,22.22,0,6.86,0,5,0.9,0.03,0.92,2.45,12,11,0.02,0,0,31380316,18577760,22178612,16379900,184,0,0.053,83.204,35.666,-1,-1,1,0.053,0,0,48,38641,2362,0,13,2,0,2294,2,1634,1.11,0.75,0,throughput_performance,memory stress
10.06,0,0.15,0,3.05,0.15,0,0,13.41,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.13,3,2,0,0,0,31380316,18574708,22175564,16379900,140,0,0.052,81.202,34.378,-1,-1,1,0.052,0,0,0,38585,2223,0,13,2,0,2213,4,1636,1.11,0.75,0,throughput_performance,memory stress
10.21,0,0.15,0,2.9,0.15,0,0,13.41,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,18573596,22174456,16379900,148,0,0.054,80.374,34.128,-1,-1,1,0.054,0,0,0,38227,2743,0,13,3,0,2745,2,1634,1.11,0.75,0,throughput_performance,memory stress
10.22,0,0.15,0,3.05,0.15,0,0,13.57,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,18577036,22177896,16379900,148,0,0.073,70.952,27.737,-1,-1,1,0.073,0,0,0,38119,2901,0,13,3,7,2884,2,1634,1.18,0.77,0,throughput_performance,memory stress
10.14,0,0.15,0,3.2,0.3,0,0,13.79,14.57,0,3,0,0.01,0,0,0,4,0,9,0.9,0.02,0.49,0.12,2,2,0,0,0,31380316,18565560,22166452,16379900,148,0,0.053,82.536,34.364,-1,-1,1,0.053,0,0,12,38939,2628,0,13,3,0,2682,2,1634,1.18,0.77,0,throughput_performance,memory stress
10.58,0,0.05,0,3.15,0.1,0,0,13.88,13.84,0,0,0,0,0,0,0,0,0,0,0,0,4.79,1.14,9,8,0.04,0,0,31380316,18581688,22182580,16379900,144,0,0.099,63.893,19.9,-1,-1,1,0.099,0,0,0,38100,3317,0,14,2,0,3255,2,1634,1.18,0.77,0,throughput_performance,memory stress
10.13,0,0.15,0,3.11,0.05,0,0,13.44,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.45,5,7,0,0,0,31380316,18585152,22186044,16379900,144,0,0.052,80.921,35.65,-1,-1,1,0.052,0,0,0,38108,2518,0,13,2,1,2472,2,1634,1.18,0.77,0,throughput_performance,memory stress
10.52,0,0.35,0.05,2.96,0,0,0,13.83,14.58,0,11,0,0.04,0,0,0,3.77,0,2.09,2.4,0.02,0.04,0.12,1,2,0,0,0,31380316,18581820,22182712,16379900,156,0,0.077,73.772,27.942,-1,-1,1,0.077,0,0,42,38860,3467,0,13,3,6,3378,4,1636,1.25,0.79,0,throughput_performance,memory stress
10.08,0,0.05,0.05,3.26,0.2,0,0,13.59,13.46,0,6,0,0.03,0,0,0,5.33,0,5.83,0.9,0.03,0,0.13,0,2,0,0,0,31380316,18573956,22174848,16379900,156,0,0.055,78.045,33.571,-1,-1,1,0.055,0,0,32,39050,2330,0,13,4,0,2369,4,1642,1.25,0.79,0,throughput_performance,memory stress
10.13,0,0.15,0.05,3.15,0.15,0,0,13.58,15.1,0,24,0,0.28,0,0,0,11.88,0,1.25,2.2,0.03,0.71,0.12,5,2,0.01,0,0,31380316,18575304,22176196,16379900,124,0,0.061,79.658,31.536,-1,-1,1,0.061,0,0,285,37227,2208,0,13,4,0,2207,2,1636,1.25,0.79,0,throughput_performance,memory stress
10.11,0,0.15,0,3.05,0.1,0,0,13.41,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.38,5,6,0,0,0,31380316,18569288,22170148,16379900,100,0,0.054,78.9,33.584,-1,-1,1,0.054,0,0,0,38397,2573,0,13,4,0,2572,3,1634,1.25,0.79,0,throughput_performance,memory stress
10.28,0,0.1,0,2.86,0.15,0,0,13.39,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,18569900,22170764,16379900,104,0,0.066,74.064,29.251,-1,-1,1,0.066,0,0,0,38600,2829,0,13,3,1,2835,2,1634,1.39,0.83,0,throughput_performance,memory stress
10.17,0,0.05,0,3,0.2,0,0,13.42,13.4,0,2,0,0.02,0,0,0,10,0,9,0.9,0.02,0.15,0.2,3,3,0,0,0,31380316,18561712,22162580,16379900,124,0,0.052,82.175,35.592,-1,-1,1,0.052,0,0,20,38529,2027,0,13,5,0,2015,2,1639,1.39,0.83,0,throughput_performance,memory stress
10.31,0,0.2,0.05,2.95,0.15,0,0,13.61,14.32,0,3,0,0.01,0,0,0,2.5,0,5,1.6,0.01,6.2,2.61,18,16,0.05,0,0,31380316,18560516,22161384,16379900,112,0,0.065,79.126,28.857,-1,-1,1,0.065,0,0,7,38059,2742,0,13,2,0,2741,2,1634,1.39,0.83,0,throughput_performance,memory stress
10.09,0,0.1,0,3.06,0.05,0,0,13.3,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.19,1,3,0,0,0,31380316,18547616,22148496,16379900,124,0,0.051,79.259,35.465,-1,-1,1,0.051,0,0,0,36748,2437,0,13,2,0,2329,2,1634,1.44,0.85,0,throughput_performance,memory stress
10.08,0,0.1,0,3.01,0.15,0,0,13.34,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.18,3,3,0.01,0,0,31380316,18540960,22141844,16379900,132,0,0.058,79.652,33.239,-1,-1,1,0.058,0,0,0,37927,2311,0,13,2,0,2243,2,1634,1.44,0.85,0,throughput_performance,memory stress
10.14,0,0.1,0,3.05,0.25,0,0,13.54,14.26,0,1,0,0,0,0,0,4,0,9,0.9,0.01,0.15,0.19,2.97,2.97,0,0,0,31380316,18537984,22138872,16379900,132,0,0.055,76.578,32.795,-1,-1,1,0.055,0,0,4,37886,2429,0,13,3,0,2409,4,1637,1.44,0.85,0,throughput_performance,memory stress
10.19,0,0.15,0,2.95,0.1,0,0,13.39,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,18550064,22150952,16379900,128,0,0.055,80.821,33.448,-1,-1,1,0.055,0,0,0,37793,2459,0,13,3,1,2440,2,1634,1.44,0.85,0,throughput_performance,memory stress
10.13,0,0.2,0,3.14,0.15,0,0,13.62,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,18545672,22146552,16379900,128,0,0.067,75.837,29.091,-1,-1,1,0.067,0,0,0,37861,2604,0,13,3,6,2605,4,1635,1.48,0.87,0,throughput_performance,memory stress
10.26,0,0.25,0.15,3.1,0.15,0,0,13.76,13.75,0,31,0,0.12,0,0,0,4,0,0.87,0.8,0.03,15.3,16.74,40,39,0.14,0,0,31380316,18542644,22143508,16379900,128,0,0.068,73.787,29.133,-1,-1,1,0.068,0,0,124,38240,3542,0,13,2,0,3479,2,1634,1.48,0.87,0,throughput_performance,memory stress
10.12,0,0,0,3.01,0.15,0,0,13.28,14.78,0,3,0,0.02,0,25,0,5.33,0,8.67,0.9,0.02,0.15,0.19,3,3,0,0,0,31380316,18536804,22137684,16379900,156,0,0.054,81.801,33.766,-1,-1,1,0.054,0,0,16,39518,2157,0,13,2,0,2075,4,1637,1.48,0.87,0,throughput_performance,memory stress
10.17,0,0.1,0,3.01,0.15,0,0,13.43,13.41,0,0,0,0,0,0,0,0,0,0,0,0,4.74,1.21,8,9,0.04,0,0,31380316,18535424,22136328,16379900,172,0,0.068,78.977,27.518,-1,-1,1,0.068,0,0,0,37379,2472,0,13,3,1,2446,3,1634,1.48,0.87,0,throughput_performance,memory stress
10.66,0,0.2,0.05,3.1,0.2,0,0,14.16,14.94,0,7,0,0.05,0,0,0,7.79,0,3.43,2.5,0.02,1.35,0.36,5,6,0.01,0,0,31380316,18522280,22123196,16379900,496,0,0.118,61.486,17.806,-1,-1,1,0.118,0,0,55,39456,3804,0,14,3,6,3776,2,1634,1.52,0.89,0,throughput_performance,memory stress
3.56,0,0.1,0,3.81,0.15,0,0,7.62,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0,0,31380316,18524964,22125968,16379900,620,0,0.162,57.809,13.81,-1,-1,1,0.162,0,0,0,38257,2438,0,8,3,1,2425,4,1639,1.52,0.89,0,throughput_performance,memory stress
